Title,Location,Price,Area
                        House Crommelinlaan                            ,            2627 AD Delft (Delftzicht)        ,"                €1,495 per month            ",100 m²
                        Apartment Oude Langendijk                            ,            2611 GK Delft (Centrum)        ,"                €1,025 per month            ",60 m²
                        Apartment Vrouwenregt 13 D                            ,            2611 KK Delft (Centrum)        ,"                €1,075 per month            ",42 m²
                        Apartment Sint Olofsstraat 21 E                            ,            2613 EK Delft (Olofsbuurt)        ,"                €1,295 per month            ",56 m²
                        House Van Embdenstraat                            ,            2628 ZE Delft (Bedrijventerrein Delftech)        ,"                €2,250 per month            ",131 m²
                        Apartment Markt                            ,            2611 GV Delft (Centrum)        ,                €870 per month            ,25 m²
                        Apartment Markt                            ,            2611 GV Delft (Centrum)        ,                €760 per month            ,22 m²
                        Apartment Nieuwe Langendijk                            ,            2611 VH Delft (Centrum-Zuidoost)        ,"                €1,100 per month            ",45 m²
                        Apartment Martinus Nijhofflaan                            ,            2624 MH Delft (Poptahof-Zuid)        ,"                €1,175 per month            ",60 m²
                        Apartment Rietveld                            ,            2611 LJ Delft (Centrum-Oost)        ,"                €1,400 per month            ",30 m²
                        Apartment Oude Kerkstraat                            ,            2611 HT Delft (Centrum-West)        ,"                €1,400 per month            ",60 m²
                        Apartment Piet Heinstraat                            ,            2628 RK Delft (TU-Noord)        ,"                €1,950 per month            ",110 m²
                        Apartment Isaäk Hoornbeekstraat 7                            ,            2613 HE Delft (Olofsbuurt)        ,"                €1,500 per month            ",72 m²
                        Apartment Kalfjeslaan 24 C                            ,            2623 AH Delft (Bedrijventerrein Tanthof-Oost)        ,"                €1,030 per month            ",61 m²
                        Apartment Arthur van Schendelplein 178                            ,            2624 CX Delft (Voorhof-Hoogbouw)        ,"                €1,125 per month            ",94 m²
                        Apartment J.J. Slauerhofflaan                            ,            2624 JV Delft (Roland Holstbuurt)        ,"                €1,850 per month            ",114 m²
                        Apartment Binnenwatersloot 15 VIII                            ,            2611 BJ Delft (Centrum-Zuidwest)        ,                €900 per month            ,55 m²
                        Apartment Verwersdijk 180 F                            ,            2611 NN Delft (Centrum-Oost)        ,"                €1,250 per month            ",32 m²
                        Apartment Trompetstraat 5                            ,            2611 KL Delft (Centrum-Oost)        ,"                €1,250 per month            ",74 m²
                        House Oostsingel                            ,            2612 HB Delft (Heilige Land)        ,"                €1,600 per month            ",74 m²
                        Apartment Oosteinde 134                            ,            2611 SP Delft (In de Veste)        ,"                €1,950 per month            ",48 m²
                        Apartment Oude Langendijk 12 E                            ,            2611 GK Delft (Centrum)        ,                €895 per month            ,39 m²
                        Apartment Jacob Catsstraat                            ,            2613 HC Delft (Olofsbuurt)        ,"                €1,395 per month            ",75 m²
                        House Luxemburghof 48                            ,            2628 ZT Delft (Bedrijventerrein Delftech)        ,"                €2,500 per month            ",166 m²
                        Apartment Asvest                            ,            2611 PK Delft (Centrum-Zuidwest)        ,"                €1,900 per month            ",44 m²
                        Apartment Asvest                            ,            2611 PK Delft (Centrum-Zuidwest)        ,"                €2,150 per month            ",65 m²
                        Apartment Asvest                            ,            2611 PK Delft (Centrum-Zuidwest)        ,"                €1,650 per month            ",29 m²
                        Apartment Van Embdenstraat 46                            ,            2628 ZE Delft (Bedrijventerrein Delftech)        ,"                €1,475 per month            ",105 m²
                        Apartment Heilige Geestkerkhof 18                            ,            2611 HP Delft (Centrum)        ,"                €2,300 per month            ",171 m²
                        Apartment Oude Delft 173                            ,            2611 HB Delft (Centrum-West)        ,"                €3,400 per month            ",205 m²
